,datetime,name,price,quantity
235,2019-08-01 19:51:00,Pilau Rice,2.95,1
236,2019-08-01 19:51:00,Plain Papadum,0.8,1
237,2019-08-01 19:51:00,Red Sauce,0.5,1
238,2019-08-01 19:51:00,Mango Chutney,0.5,1
239,2019-08-01 19:51:00,Mixed Starter,5.95,1
240,2019-08-01 19:16:00,Madras - Lamb,7.95,1
241,2019-08-01 19:16:00,Mushroom Rice,3.95,1
242,2019-08-01 19:16:00,French Fries,3.95,1
243,2019-08-01 19:16:00,Korma - Chicken,8.95,2
244,2019-08-01 19:16:00,Plain Naan,2.6,1
245,2019-08-01 19:16:00,Garlic Naan,2.95,1
246,2019-08-01 18:45:00,Plain Papadum,0.8,4
247,2019-08-01 18:45:00,Pathia - Chicken Tikka,8.95,2
248,2019-08-01 18:45:00,COBRA ( LARGE ),5.95,1
249,2019-08-01 18:45:00,House white wine 75cl,17.95,1
250,2019-08-01 18:45:00,Pilau Rice,2.95,2
251,2019-08-01 18:41:00,Lamb Tikka,4.95,1
252,2019-08-01 18:41:00,Lime Pickle,0.5,1
253,2019-08-01 18:41:00,Onion Chutney,0.5,1
254,2019-08-01 18:41:00,Plain Rice,2.95,1
255,2019-08-01 18:41:00,King Prawn Shaslick,12.95,1
256,2019-08-01 18:41:00,COBRA ( LARGE ),5.95,2
257,2019-08-01 18:21:00,Chicken Tikka Biryani,10.95,1
258,2019-08-01 18:21:00,Stuffed Paratha,3.95,1
259,2019-08-01 18:21:00,Meat Samosa,3.95,1
260,2019-08-01 18:02:00,Plain Rice,2.95,1
261,2019-08-01 18:02:00,Plain Naan,2.6,2
262,2019-08-01 18:02:00,Mixed Vegetable Curry,5.95,1
263,2019-08-01 18:02:00,Aloo Gobi,5.95,1
264,2019-08-01 18:02:00,Curry Sauce,3.95,1
265,2019-08-01 18:02:00,Mango Chutney,0.5,1
266,2019-08-01 18:02:00,Raitha,2.95,1
267,2019-08-01 17:59:00,Madras - Chicken,7.95,1
268,2019-08-01 17:59:00,Plain Naan,2.6,1
269,2019-08-01 17:59:00,Bottle Diet Coke,2.95,1
270,2019-08-01 17:59:00,Plain Rice,2.95,1
